province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
bagmati,sindhuli,Rural,Male,69569,54380,164,15013,12,78.40273685118372
bagmati,sindhuli,Rural,Female,73443,46528,190,26716,9,63.61123592445842
bagmati,makwanpur,Total(Urban+Rural),Total(Male+Female),608794,484755,1486,122546,7,79.86954536345627
bagmati,makwanpur,Total(Urban+Rural),Male,302885,259340,638,42905,2,85.83389735378114
bagmati,makwanpur,Total(Urban+Rural),Female,305909,225415,848,79641,5,73.96415273823261
bagmati,makwanpur,Rural,Total(Male+Female),206263,149621,645,55995,2,72.85165056263119
bagmati,makwanpur,Rural,Male,102153,80475,306,21371,1,79.07844116178673
bagmati,makwanpur,Rural,Female,104110,69146,339,34624,1,66.74190759773316
bagmati,makwanpur,Urban,Total(Male+Female),43771,33946,93,9731,1,77.76610084302392
bagmati,makwanpur,Urban,Male,24478,20995,38,3444,1,85.92613775635265
bagmati,makwanpur,Urban,Female,19293,12951,55,6287,0,67.41305136578033
bagmati,chitawan,Total(Urban+Rural),Total(Male+Female),1014826,861334,2835,150596,61,85.1544008529541
bagmati,chitawan,Total(Urban+Rural),Male,490795,441704,984,48083,24,90.19814790289225
bagmati,chitawan,Total(Urban+Rural),Female,524031,419630,1851,102513,37,80.43054704778916
bagmati,chitawan,Urban,Total(Male+Female),298937,240343,1499,57090,5,80.90065799817353
bagmati,chitawan,Urban,Male,145991,125700,594,19695,2,86.50807241542286
bagmati,chitawan,Urban,Female,152946,114643,905,37395,3,75.54823270958377
bagmati,chitawan,Rural,Total(Male+Female),25021,18561,42,6418,0,74.34954638103991
bagmati,chitawan,Rural,Male,12672,10050,20,2602,0,79.46654040404042
